"Source:","/home/antonio/dev/theia/THEIA/THEIA.kicad_sch"
"Date:","So 10 Apr 2022 12:37:45 CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"","","R5","R2.2","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","73E4R050JCT-ND","","","","","","73E4R050J","CTS Resistor Products","","","",""
"","","R6","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R7","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R8","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R9","R47","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","A129794CT-ND","","","","","","CRGCQ1206F47R","TE Connectivity Passive Product","","","",""
"","","R10","R47","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","A129794CT-ND","","","","","","CRGCQ1206F47R","TE Connectivity Passive Product","","","",""
"","","R11","R47","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","A129794CT-ND","","","","","","CRGCQ1206F47R","TE Connectivity Passive Product","","","",""
"","","R12","R47","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","A129794CT-ND","","","","","","CRGCQ1206F47R","TE Connectivity Passive Product","","","",""
"","","R13","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R14","R0.075","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","P.075AUCT-ND","","","","","","ERJ-8BWFR075V","Panasonic Electronic Components","","","",""
"","","R15","R0.075","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","P.075AUCT-ND","","","","","","ERJ-8BWFR075V","Panasonic Electronic Components","","","",""
"","","R16","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R17","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R18","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R19","R10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","","","","","","",""
"","","R20","R100K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RG32P100KBCT-ND","","","","","","RG3216P-1003-B-T1","Susumu","","","",""
"","","R21","R150K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RNCP1206FTD150RCT-ND","","","","","","RNCP1206FTD150R","Stackpole Electronics Inc","","","",""
"","","R22","R0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
"","","R23","R3.3K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206JT3K30CT-ND","","","","","","RMCF1206JT3K30","Stackpole Electronics Inc","","","",""
"","","R24","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","RNCP1206FTD10K0CT-ND","","","","","RNCP1206FTD10K0","Stackpole Electronics Inc","","","",""
"","","R25","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","RNCP1206FTD10K0CT-ND","","","","","RNCP1206FTD10K0","Stackpole Electronics Inc","","","",""
"","","R26","R0","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RMCF1206ZT0R00CT-ND","","","","","","RMCF1206ZT0R00","Stackpole Electronics Inc","","","",""
